	dataset	chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize25	ValidConnection	CellType	Reference	Regulated	orientation	distance	distanceClass	binStart	binEnd	ENFORMER_score
1	FlowFISH_K562	chr1	3774714	3775214	LRRC47|chr1:3691278-3691778:*	-0.331178093	chr1	3796503	3796504	LRRC47	True	0.007771168	0.608994236	True	K562	Ulirsch2016	True	True	21789	0	277	282	0.22445479
2	FlowFISH_K562	chr1	3774714	3775214	SMIM1|chr1:3691278-3691778:*	-0.472019217	chr1	3772761	3772762	SMIM1	True	0.000641649	0.639332272	True	K562	Ulirsch2016	True	False	2453	0	463	468	1.6962675
3	FlowFISH_K562	chr10	125816658	125816735	UROS|chr10:127505227-127505304:*	-0.85	chr10	125823284	125823285	UROS	True		0.234322062	True	K562	Wakabayashi2016	True	True	6626	0	396	397	2.1088321
81	FlowFISH_K562	chr11	5476135	5476675	HBE1|chr11:5497365-5497905:*	0.00064985	chr11	5505651	5505652	HBE1	False	0.846461063242	0.999997297137	True	K562	Klann2017	False	True	29516	0	217	222	0.10583589
82	FlowFISH_K562	chr11	5506995	5507615	HBE1|chr11:5528225-5528845:*	0.03575502	chr11	5505651	5505652	HBE1	False	0.989919227926	0.97904822226	True	K562	Klann2017	False	False	1964	0	458	464	0.27718323
83	FlowFISH_K562	chr11	5530995	5531795	HBE1|chr11:5552225-5553025:*	0.03007019	chr11	5505651	5505652	HBE1	False	0.982456342633	0.999952586376	True	K562	Klann2017	False	False	26144	0	646	653	0.5433938
131	FlowFISH_K562	chr11	61834595	61834918	FADS1|chr11:61602067-61602390:*	-0.580721711	chr11	61829317	61829318	FADS1	True	1.37e-25		True	K562	Xie2017	True	False	5601	0	489	492	0.011659292
132	FlowFISH_K562	chr11	61841784	61841802	FADS1|chr11:61609256-61609274:*	-0.265317927	chr11	61829317	61829318	FADS1	True	0.0065232		True	K562	Xie2017	True	False	12485	0	545	546	0.0029492378
299	FlowFISH_K562	chr12	54227321	54227841	HNRNPA1|chr12:54621105-54621625:*	0.09424936	chr12	54280193	54280194	HNRNPA1	False	0.582058620332	0.999151480594	True	K562	Fulco2019	False	True	52872	0	34	40	0.03760745
303	FlowFISH_K562	chr12	54227941	54228441	HNRNPA1|chr12:54621725-54622225:*	-0.16461808	chr12	54280193	54280194	HNRNPA1	False	0.355809037527	0.861607369016	True	K562	Fulco2019	False	True	52252	0	39	44	0.056593496
308	FlowFISH_K562	chr12	54251581	54252161	COPZ1|chr12:54645365-54645945:*	-0.02324243	chr12	54301202	54301203	COPZ1	False	0.879147233175	0.999999871373	True	K562	Fulco2019	False	True	49621	0	60	65	0.037720002
309	FlowFISH_K562	chr12	54251581	54252161	HNRNPA1|chr12:54645365-54645945:*	-0.06028778	chr12	54280193	54280194	HNRNPA1	False	0.873271418836	0.941360854979	True	K562	Fulco2019	False	True	28612	0	224	230	0.11944055
311	FlowFISH_K562	chr12	54251581	54252161	NFE2|chr12:54645365-54645945:*	-0.08840229	chr12	54301120	54301121	NFE2	False	0.736690586723	0.930156119408	True	K562	Fulco2019	False	True	49539	0	60	66	0.04420111
312	FlowFISH_K562	chr12	54261781	54262321	COPZ1|chr12:54655565-54656105:*	-0.01963499	chr12	54301202	54301203	COPZ1	False	0.898876285674	0.999899324667	True	K562	Fulco2019	False	True	39421	0	140	145	0.031106288
313	FlowFISH_K562	chr12	54261781	54262321	HNRNPA1|chr12:54655565-54656105:*	-0.01759891	chr12	54280193	54280194	HNRNPA1	False	0.967613756798	0.981272353422	True	K562	Fulco2019	False	True	18412	0	304	309	0.07189737
315	FlowFISH_K562	chr12	54261781	54262321	NFE2|chr12:54655565-54656105:*	3.118e-05	chr12	54301120	54301121	NFE2	False	0.998265820297	0.973265919349	True	K562	Fulco2019	False	True	39339	0	140	145	0.028611919
316	FlowFISH_K562	chr12	54262421	54262941	COPZ1|chr12:54656205-54656725:*	-0.00511692	chr12	54301202	54301203	COPZ1	False	0.974465417009	0.999999912405	True	K562	Fulco2019	False	True	38781	0	145	150	0.052043162
317	FlowFISH_K562	chr12	54262421	54262941	HNRNPA1|chr12:54656205-54656725:*	-0.01553257	chr12	54280193	54280194	HNRNPA1	False	0.967613756798	0.999383451308	True	K562	Fulco2019	False	True	17772	0	309	314	0.08763947
